"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"alabaster.ranges","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.6.0",NA,"GenomicRanges, alabaster.base","methods, S4Vectors, BiocGenerics, IRanges, GenomeInfoDb, rhdf5",NA,"testthat, knitr, BiocStyle, jsonlite",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"alabaster.sce","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.6.0",NA,"SingleCellExperiment, alabaster.base","methods, alabaster.se, jsonlite",NA,"knitr, testthat, BiocStyle, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"alabaster.schemas","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.6.0",NA,NA,NA,NA,"knitr, rmarkdown, BiocStyle",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"alabaster.se","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.6.0",NA,"SummarizedExperiment, alabaster.base","methods, alabaster.ranges, alabaster.matrix, BiocGenerics,
S4Vectors, IRanges, GenomicRanges, jsonlite",NA,"rmarkdown, knitr, testthat, BiocStyle",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"ALDEx2","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.38.0",NA,"methods, stats, zCompositions, lattice, latticeExtra","Rfast, BiocParallel, GenomicRanges, IRanges, S4Vectors,
SummarizedExperiment, multtest, directlabels",NA,"testthat, BiocStyle, knitr, rmarkdown, purrr, ggpattern,
ggplot2, cowplot, tidyverse, magick",NA,"GPL (>=3)",NA,NA,NA,NA,"no","4.4.1"
"AlgDesign","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.1.2",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"ALL","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.48.0",NA,"R (>= 2.10), Biobase (>= 2.5.5)",NA,NA,"rpart",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.0"
"alluvial","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1-2",NA,NA,NA,NA,"devtools, testthat, reshape2, knitr, rmarkdown, dplyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"ALRA","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.0.0.9000",NA,"R (>= 2.10)","rsvd",NA,"fastRPCA, testthat (>= 3.0.0)",NA,"`use_mit_license()`, `use_gpl3_license()` or friends to pick a
license",NA,NA,NA,NA,"no","4.4.0"
"amap","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.8-20",NA,"R (>= 3.6.0)",NA,NA,"Biobase",NA,"GPL",NA,NA,NA,NA,"yes","4.4.1"
"Amelia","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.8.3",NA,"R (>= 3.0.2), Rcpp (>= 0.11)","foreign, utils, grDevices, graphics, methods, stats, rlang","Rcpp (>= 0.11), RcppArmadillo","tcltk, broom, rmarkdown, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"ANCOMBC","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.8.1",NA,"R (>= 4.3.0)","stats, CVXR, DescTools, Hmisc, MASS, Matrix, Rdpack,
doParallel, doRNG, energy, foreach, gtools, lme4, lmerTest,
multcomp, nloptr, parallel, utils",NA,"mia (>= 1.6.0), DT, S4Vectors, SingleCellExperiment,
SummarizedExperiment, TreeSummarizedExperiment, dplyr, knitr,
magrittr, microbiome, phyloseq, rmarkdown, testthat, tidyr,
tidyverse",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.2"
"anndata","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.8.0",NA,"R (>= 3.5.0)","assertthat, cli, lifecycle, Matrix, methods, R6, reticulate
(>= 1.41)",NA,"stats, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"annotate","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.84.0",NA,"R (>= 2.10), AnnotationDbi (>= 1.27.5), XML","Biobase, DBI, xtable, graphics, utils, stats, methods,
BiocGenerics (>= 0.13.8), httr",NA,"hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges,
rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db,
org.Mm.eg.db, humanCHRLOC, Rgraphviz, RUnit, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"AnnotationDbi","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.68.0",NA,"R (>= 2.7.0), methods, stats4, BiocGenerics (>= 0.29.2),
Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST",NA,"utils, hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db,
RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db,
reactome.db, AnnotationForge, graph, EnsDb.Hsapiens.v75,
BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"AnnotationFilter","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.30.0",NA,"R (>= 3.4.0)","utils, methods, GenomicRanges, lazyeval",NA,"BiocStyle, knitr, testthat, RSQLite, org.Hs.eg.db, rmarkdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"AnnotationHub","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.14.0",NA,"BiocGenerics (>= 0.15.10), BiocFileCache (>= 1.5.1)","utils, methods, grDevices, RSQLite, BiocManager, BiocVersion,
curl, rappdirs, AnnotationDbi (>= 1.31.19), S4Vectors, httr,
yaml, dplyr",NA,"IRanges, GenomicRanges, GenomeInfoDb, VariantAnnotation,
Rsamtools, rtracklayer, BiocStyle, knitr, AnnotationForge,
rBiopaxParser, RUnit, txdbmaker, MSnbase, mzR, Biostrings,
CompoundDb, keras, ensembldb, SummarizedExperiment,
ExperimentHub, gdsfmt, rmarkdown, HubPub","AnnotationHubData","Artistic-2.0",NA,NA,NA,NA,"yes","4.4.1"
"anticlust","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.8.10-1",NA,"R (>= 3.6.0)","Matrix, RANN (>= 2.6.0), lpSolve",NA,"knitr, palmerpenguins, Rglpk, rmarkdown, Rsymphony, tinytest,
gurobi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"AnVIL","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.18.5",NA,"R (>= 3.6), dplyr, AnVILBase","stats, utils, methods, futile.logger, jsonlite, httr,
rapiclient (>= 0.1.3), yaml, tibble, tidyselect, tidyr, rlang,
shiny, DT, miniUI, htmltools, BiocManager, BiocBaseUtils",NA,"parallel, knitr, rmarkdown, testthat, withr, readr,
BiocStyle, devtools, AnVILAz, AnVILGCP, lifecycle",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.2"
"AnVILBase","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.0",NA,NA,"httr, httr2, dplyr, jsonlite, methods, tibble",NA,"AnVIL, AnVILAz, AnVILGCP, BiocStyle, knitr, rmarkdown,
testthat (>= 3.0.0), tinytest",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"anytime","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.12",NA,"R (>= 3.2.0)","Rcpp (>= 1.0.8)","Rcpp (>= 1.0.8), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"aod","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.3",NA,"R (>= 2.10), methods, stats",NA,NA,"MASS, boot, lme4",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"apcluster","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.13",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.1), methods, Matrix, stats, graphics, grDevices","Rcpp","knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"ape","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","5.8-1",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, utils, parallel, Rcpp
(>= 0.12.0), digest","Rcpp","gee, expm, igraph, phangorn, xml2",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"aPEAR","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.0",NA,"R (>= 3.5.0)","arules, bayesbio, data.table, dplyr, igraph, lsa, MCL,
reshape2, tibble, utils, stats, methods, ggplot2, ggrepel,
ggforce",NA,"Spectrum, clusterProfiler, gprofiler2, DOSE, org.Hs.eg.db,
testthat (>= 3.0.0), knitr, rmarkdown, stringr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"aplot","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.8",NA,"R (>= 4.1.0)","ggfun (>= 0.1.3), ggplot2, ggplotify, patchwork, magrittr,
methods, utils, yulab.utils (>= 0.1.9), pillar",NA,"ggtree",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"archive","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.12",NA,"R (>= 3.6.0)","cli, glue, rlang, tibble","cli","covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"argparse","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.2.5",NA,"R (>= 3.6.0)","findpython, jsonlite, R6",NA,"knitr (>= 1.15.19), rmarkdown, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"ArrayExpress","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.66.0",NA,"R (>= 2.9.0), Biobase (>= 2.4.0)","oligo, limma, httr, utils, jsonlite, rlang, tools, methods",NA,"affy",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.2"
"arrow","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","21.0.0.1",NA,"R (>= 4.0)","assertthat, bit64 (>= 0.9-7), glue, methods, purrr, R6, rlang
(>= 1.0.0), stats, tidyselect (>= 1.0.0), utils, vctrs","cpp11 (>= 0.4.2)","blob, curl, cli, DBI, dbplyr, decor, distro, dplyr, duckdb
(>= 0.2.8), hms, jsonlite, knitr, lubridate, pillar, pkgload,
reticulate, rmarkdown, stringi, stringr, sys, testthat (>=
3.1.0), tibble, tzdb, withr",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"yes","4.4.1"
"arules","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.7-8",NA,"Matrix (>= 1.4-0), R (>= 4.0.0)","generics, graphics, methods, stats, utils",NA,"arulesCBA, arulesViz, pmml, proxy, testthat, XML",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"ash","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0-15",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"ashr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.2-63",NA,"R (>= 3.1.0)","Matrix, stats, graphics, Rcpp (>= 0.10.5), truncnorm, mixsqp,
SQUAREM, etrunct, invgamma","Rcpp","testthat, knitr, rmarkdown, ggplot2, REBayes",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.0"
"AsioHeaders","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.30.2-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.4.1"
"askpass","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"assertthat","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"assorthead","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.1",NA,NA,NA,NA,"knitr, rmarkdown, BiocStyle",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"attempt","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.1",NA,NA,"rlang",NA,"testthat, knitr, rmarkdown, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"AUCell","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.28.0",NA,NA,"DelayedArray, DelayedMatrixStats, data.table, graphics,
grDevices, GSEABase, Matrix, methods, mixtools, R.utils, stats,
SummarizedExperiment, BiocGenerics, utils",NA,"Biobase, BiocStyle, doSNOW, dynamicTreeCut, DT, GEOquery,
knitr, NMF, plyr, R2HTML, rmarkdown, reshape2, plotly, Rtsne,
testthat, zoo","doMC, doRNG, doParallel, foreach","GPL-3",NA,NA,NA,NA,"no","4.4.1"
"babelgene","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","22.9",NA,"R (>= 3.4)","dplyr, methods, rlang",NA,"covr, knitr, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"backports","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.5.0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"base","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.4.0","base",NA,NA,NA,"methods","chron, date, round","Part of R 4.4.0",NA,NA,NA,NA,NA,"4.4.0"
"base64","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.2",NA,NA,"openssl",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"base64enc","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"base64url","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4",NA,NA,"backports (>= 1.1.0)",NA,"base64enc, checkmate, knitr, microbenchmark, openssl,
rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"basilisk","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.19.0",NA,"reticulate","utils, methods, parallel, dir.expiry, basilisk.utils (>=
1.15.1)",NA,"knitr, rmarkdown, BiocStyle, testthat, callr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"basilisk.utils","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.18.0",NA,NA,"utils, methods, tools, dir.expiry",NA,"reticulate, knitr, rmarkdown, BiocStyle, testthat, basilisk",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"batchelor","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.22.0",NA,"SingleCellExperiment","SummarizedExperiment, S4Vectors, BiocGenerics, Rcpp, stats,
methods, utils, igraph, BiocNeighbors, BiocSingular, Matrix,
SparseArray, DelayedArray (>= 0.31.5), DelayedMatrixStats,
BiocParallel, scuttle, ResidualMatrix, ScaledMatrix, beachmat","Rcpp","testthat, BiocStyle, knitr, rmarkdown, scran, scater,
bluster, scRNAseq",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"bayesbio","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.0",NA,"R (>= 3.2.0)",NA,NA,"ggplot2, RISmed, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"bayesCC","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.6",NA,"impute, gtools, gplots","RcppML",NA,"vioplot, parallel",NA,"MIT",NA,NA,NA,NA,"no","4.4.0"
"bayesm","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.1-6",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.0), utils, stats, graphics, grDevices","Rcpp, RcppArmadillo","knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"BayesPrism","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0",NA,"R (>= 3.5.0), snowfall, NMF (>= 0.30.4.900)","gplots, stats, utils, scran, BiocParallel, knitr, snowfall",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.4.0"
"BayesSpace","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.16.0",NA,"R (>= 4.0.0), SingleCellExperiment","Rcpp (>= 1.0.4.6), stats, methods, purrr, scater, scran,
SummarizedExperiment, coda, rhdf5, S4Vectors, Matrix, magrittr,
assertthat, arrow, mclust, RCurl, DirichletReg, xgboost, utils,
dplyr, rlang, ggplot2, tibble, rjson, tidyr, scales,
microbenchmark, BiocFileCache, BiocSingular, BiocParallel","Rcpp, RcppArmadillo, RcppDist, RcppProgress","testthat, knitr, rmarkdown, igraph, spatialLIBD, viridis,
patchwork, RColorBrewer, Seurat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"BB","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2019.10-1",NA,"R (>= 2.6.1)","stats, quadprog",NA,"setRNG, survival, Hmisc, numDeriv",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"BBmisc","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.13",NA,NA,"checkmate (>= 1.8.0), data.table, methods, stats, utils",NA,"codetools, microbenchmark, testthat",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"bbmle","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.25.1",NA,"R (>= 3.0.0), stats4","stats, numDeriv, lattice, MASS, methods, bdsmatrix, Matrix,
mvtnorm",NA,"emdbook, rms, ggplot2, RUnit, MuMIn, AICcmodavg, Hmisc,
optimx (>= 2013.8.6), knitr, testthat",NA,"GPL",NA,NA,NA,NA,"no","4.4.0"
"bbotk","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.6.0",NA,"paradox (>= 1.0.0), R (>= 3.1.0)","checkmate (>= 2.0.0), cli, data.table, lgr, methods, mlr3misc
(>= 0.15.1), R6",NA,"adagio, emoa, GenSA, irace (>= 4.0.0), knitr, mirai, nloptr,
processx, progressr, redux, RhpcBLASctl, rush (>= 0.2.0),
testthat (>= 3.0.0)",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.4.1"
"bbplot","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2",NA,"R (>= 3.3.0)","ggplot2, png, grid, ggpubr, dplyr, data.table",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"bcellViper","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.42.0",NA,"R(>= 2.14.0), Biobase, methods",NA,NA,NA,NA,"GPL (>=2)",NA,NA,NA,NA,"no","4.4.0"
"bdsmatrix","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3-7",NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.4.1"
"beachmat","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.22.0",NA,NA,"methods, DelayedArray (>= 0.27.2), SparseArray, BiocGenerics,
Matrix, Rcpp","Rcpp, assorthead","testthat, BiocStyle, knitr, rmarkdown, rcmdcheck,
BiocParallel, HDF5Array, beachmat.hdf5",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"beanplot","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.1",NA,NA,NA,NA,"vioplot, lattice",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"BEAPI","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.0",NA,NA,NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"beeswarm","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.0",NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.1"
"bench","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.4",NA,"R (>= 4.0.0)","glue (>= 1.8.0), methods, pillar (>= 1.10.1), profmem (>=
0.6.0), rlang (>= 1.1.4), stats, tibble (>= 3.2.1), utils",NA,"covr, dplyr, forcats, ggbeeswarm, ggplot2 (>= 3.5.1),
ggridges, parallel, scales, testthat (>= 3.2.3), tidyr (>=
1.3.1), vctrs (>= 0.6.5), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"BH","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.87.0-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.4.1"
"BiasedUrn","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.12",NA,NA,NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"bibliometrix","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","5.1.0",NA,"R (>= 3.3.0)","stats, grDevices, bibliometrixData, dimensionsR, dplyr, DT,
ca, forcats, ggplot2, ggrepel, igraph, Matrix, plotly,
openalexR, openxlsx, pubmedR, purrr, readr, readxl, rscopus,
shiny, shinycssloaders (>= 1.1.0), SnowballC, stringdist,
stringi, stringr, tibble, tidyr, tidytext, visNetwork",NA,"knitr, rmarkdown, testthat (>= 3.0.0), wordcloud2",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"bibliometrixData","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.0",NA,"R (>= 3.3.0)",NA,NA,"bibliometrix",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"biclust","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.3.1",NA,"R (>= 2.10), MASS, grid, colorspace, lattice","methods, flexclust, additivityTests, tidyr, ggplot2",NA,"isa2",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"biglm","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.9-3",NA,"DBI, methods",NA,NA,"RSQLite, RODBC","leaps","GPL",NA,NA,NA,NA,"yes","4.4.1"
