"Name","Series","Type","Source","Epigenomics","Genomics","Metabolomics","Microbiome","Multi-Omics","Pharmacogenomics","Proteomics","Single-cell","Spatial Omics","Transcriptomics","avg_total_score"
"CodeGemma-7B","Google","Coder","Open",33.16176471,35.47368421,37.61797753,35.8852459,33.60869565,38.83333333,38.94520548,33.30985915,34.9375,32.93220339,35.470546935
"Gemma2-2B","Google","General","Open",32.41333333,36.78217822,35.87777778,35.24528302,32.25179856,40.65217391,33.45454545,30.775,32.19148936,34.15277778,34.379635741
"Qwen2.5-Coder-1.5B-Instruct","Qwen","Coder","Open",27.23943662,33.92307692,36.86842105,35.15555556,32.6984127,38.17647059,34.44155844,31.39285714,34.17105263,34.32835821,33.839519986
"Gemma-7B","Google","General","Open",31.88311688,32.70652174,35.32432432,33.47272727,29.84892086,35.84210526,35.09411765,32.11494253,33.96808511,31.31884058,33.15737022
"CodeLlama-34B","Meta","Coder","Open",29.80597015,29.76086957,35.5,32.89361702,30.55645161,30.53333333,33.82894737,29.69512195,29.97530864,34.83606557,31.738568521
"CodeLlama-7B","Meta","Coder","Open",24.81818182,27.8313253,34.80597015,31.7755102,28.64035088,33.66666667,28.72,29.06756757,26.2739726,26.53968254,29.213922773
"Qwen2.5-1.5B-Instruct","Qwen","General","Open",24.88709677,29.40659341,32.81481481,28.86538462,29.7751938,30.73684211,30.11688312,25.57377049,30.025,28.43661972,29.063819885
"CodeLlama-13B","Meta","Coder","Open",28.3559322,29.71604938,34.84090909,30.23913043,27.1875,20.15,28.18292683,28.38554217,28.43055556,29.66666667,28.515521233
"DeepCoder-1.5B","Other","Coder","Open",20.35526316,19.48484848,24.80612245,22.22033898,22.20915033,30.06666667,26.36144578,19.01086957,19.27956989,18.87341772,22.266769303
"Gemma-2B","Google","General","Open",21.60526316,23.4040404,25.57291667,22.51724138,19.74647887,23.94736842,23.675,20.52272727,23.19148936,17.84415584,22.202668137
"Qwen2.5-Coder-0.5B-Instruct","Qwen","Coder","Open",20.28333333,20.02325581,19.27777778,20.83783784,17.26724138,24.58823529,18.43076923,20.21428571,20.71428571,16.37735849,19.801438057
"StarCoder-15B","StarCoder","Coder","Open",19.61363636,21.56637168,19.5,18.140625,20.43292683,17.34782609,20.76404494,18.49494949,17.46938776,18.63513514,19.196490329
"DeepSeek-Coder-1.3B-Instruct","DeepSeek","Coder","Open",14.13414634,16.84466019,16.36633663,18.40983607,16.91608392,22.29411765,15.70930233,14.86206897,19.1,23.625,17.82615521
"Qwen2.5-0.5B-Instruct","Qwen","General","Open",16.33846154,19.67045455,20.0125,18.35087719,17.90598291,16.875,17.58571429,19.36486486,17.6125,13.26666667,17.698302201
"TinyLlama-1.1B","Other","General","Open",14.75903614,14.61616162,17,15.24590164,16.12318841,15.23529412,15.61627907,16.4,17.71111111,14.77027027,15.747724238
"StarCoder-7B","StarCoder","Coder","Open",13.89411765,15.65454545,13.40566038,14.21311475,12.48701299,21.71428571,12.52808989,17.52083333,12.15384615,16.98795181,15.055945811
